time, 5, 6, 
469, 85, 146, 
544, 105, 201, 
619, 129, 252, 
694, 156, 300, 
769, 188, 343, 
844, 214, 392, 
919, 238, 443, 
994, 263, 493, 
1069, 289, 542, 
1146, 316, 592, 
1221, 343, 640, 
1297, 371, 688, 
1373, 398, 737, 
1449, 423, 788, 
1524, 449, 837, 
1599, 471, 890, 
1674, 498, 938, 
1749, 522, 989, 
1824, 541, 1045, 
1899, 559, 1102, 
1974, 584, 1152, 
2049, 616, 1195, 
2124, 640, 1246, 
2200, 665, 1297, 
2276, 689, 1349, 
2351, 708, 1405, 
2427, 733, 1456, 
2503, 766, 1499, 

